Id,Sales
1,7546.44667205
2,7546.44667205
3,8568.87864969
4,9202.93355859
5,0.0
6,6453.16408281
7,6892.85047731
8,5934.82509736
9,5887.20827224
10,5785.23403197
11,5785.23403197
12,0.0
13,6453.16408281
14,8016.26962828
15,8016.26962828
16,8016.26962828
17,8568.87864969
18,9202.93355859
19,0.0
20,6453.16408281
21,6892.85047731
22,5934.82509736
23,5887.20827224
24,5785.23403197
25,5785.23403197
26,0.0
27,6453.16408281
28,8016.26962828
29,8016.26962828
30,8016.26962828
31,8568.87864969
32,9202.93355859
33,0.0
34,6453.16408281
35,6892.85047731
36,5934.82509736
37,5887.20827224
38,5785.23403197
39,5785.23403197
40,0.0
41,6453.16408281
42,8016.26962828
43,8016.26962828
44,8016.26962828
45,8568.87864969
46,9202.93355859
47,0.0
48,6453.16408281
49,8142.16661159
50,8142.16661159
51,8568.87864969
52,9181.82716087
53,0.0
54,7090.21335293
55,6892.85047731
56,5934.82509736
57,5887.20827224
58,5785.23403197
59,5785.23403197
60,0.0
61,7090.21335293
62,8142.16661159
63,8142.16661159
64,8142.16661159
65,8568.87864969
66,9181.82716087
67,0.0
68,7090.21335293
69,6892.85047731
70,5934.82509736
71,5887.20827224
72,5785.23403197
73,5785.23403197
74,0.0
75,7090.21335293
76,8142.16661159
77,8142.16661159
78,8142.16661159
79,8568.87864969
80,9181.82716087
81,0.0
82,7090.21335293
83,6892.85047731
84,5934.82509736
85,5887.20827224
86,5785.23403197
87,5785.23403197
88,0.0
89,7090.21335293
90,8344.85110398
91,8344.85110398
92,8344.85110398
93,8568.87864969
94,9181.82716087
95,0.0
96,7090.21335293
97,7638.73066333
98,7638.73066333
99,8412.57899455
100,9812.18374956
101,0.0
102,5419.52877668
103,6154.83836412
104,5466.14337707
105,5434.21025053
106,5434.21025053
107,5461.09814609
108,0.0
109,5419.52877668
110,7638.73066333
111,7638.73066333
112,7638.73066333
113,8412.57899455
114,9812.18374956
115,0.0
116,5419.52877668
117,6154.83836412
118,5592.6705431
119,5572.1249387
120,5572.1249387
121,5461.09814609
122,0.0
123,5419.52877668
124,7638.73066333
125,7638.73066333
126,7638.73066333
127,8412.57899455
128,9812.18374956
129,0.0
130,5419.52877668
131,6154.83836412
132,5592.6705431
133,5572.1249387
134,5572.1249387
135,5461.09814609
136,0.0
137,5419.52877668
138,7638.73066333
139,7638.73066333
140,7638.73066333
141,8412.57899455
142,9812.18374956
143,0.0
144,5419.52877668
145,8142.16661159
146,8142.16661159
147,8568.87864969
148,9181.82716087
149,0.0
150,7090.21335293
151,6892.85047731
152,5934.82509736
153,5887.20827224
154,5785.23403197
155,5785.23403197
156,0.0
157,7090.21335293
158,8142.16661159
159,8142.16661159
160,8142.16661159
161,8568.87864969
162,9181.82716087
163,0.0
164,7090.21335293
165,6892.85047731
166,5934.82509736
167,5887.20827224
168,5785.23403197
169,5785.23403197
170,0.0
171,7090.21335293
172,8344.85110398
173,8344.85110398
174,8344.85110398
175,8568.87864969
176,9181.82716087
177,0.0
178,7090.21335293
179,6892.85047731
180,5934.82509736
181,5887.20827224
182,5785.23403197
183,5785.23403197
184,0.0
185,7090.21335293
186,8344.85110398
187,8344.85110398
188,8344.85110398
189,8568.87864969
190,9181.82716087
191,0.0
192,7090.21335293
193,7638.73066333
194,7638.73066333
195,8412.57899455
196,9812.18374956
197,0.0
198,5419.52877668
199,6154.83836412
200,5466.14337707
201,5434.21025053
202,5434.21025053
203,5461.09814609
204,0.0
205,5419.52877668
206,7638.73066333
207,7638.73066333
208,7638.73066333
209,8412.57899455
210,9812.18374956
211,0.0
212,5419.52877668
213,6154.83836412
214,5466.14337707
215,5434.21025053
216,5434.21025053
217,5461.09814609
218,0.0
219,5419.52877668
220,7638.73066333
221,7638.73066333
222,7638.73066333
223,8412.57899455
224,9812.18374956
225,0.0
226,5419.52877668
227,6154.83836412
228,5466.14337707
229,5434.21025053
230,5572.1249387
231,5461.09814609
232,0.0
233,5419.52877668
234,7638.73066333
235,7638.73066333
236,7638.73066333
237,8412.57899455
238,9812.18374956
239,0.0
240,5419.52877668
241,8142.16661159
242,8142.16661159
243,8568.87864969
244,9181.82716087
245,0.0
246,7090.21335293
247,6892.85047731
248,5934.82509736
249,5887.20827224
250,5785.23403197
251,5785.23403197
252,0.0
253,7090.21335293
254,8142.16661159
255,8142.16661159
